macaulay_photo_catalog_id,macaulay_url,order,family,ebird_species_group,sci_name,common_name,species_category,ebird_species_code,ebird_taxon_order,ebird_checklist_id,species_range,extinct,extinct_year,sex_bird_photo,age_bird_photo,macaulay_photographer_userId,photo_latitude,photo_longitude,macaulay_rating_count_may2021,macaulay_photo_user_rating_may21,photo_width_px,photo_height_px,source,plumageparts_split,plumageparts_mask_filename,plumageparts_segmentation_width_px,plumageparts_segmentation_height_px
703523,https://macaulaylibrary.org/asset/703523,Passeriformes,Tityridae (Tityras and Allies),"Becards, Tityras, and Allies",Pachyramphus minor,Pink-throated Becard,species,pitbec1,15328,,S Venezuela and the Guianas to e Bolivia and Amazonian Brazil,,,,,USER1142966,-2.6433,-60.1481,5.0,4.2,680.0,518.0,ml,train,Pachyramphus_minor_Unknown_703523.png,680,518
703750,https://macaulaylibrary.org/asset/703750,Passeriformes,Thamnophilidae (Typical Antbirds),Antbirds,Sakesphorus luctuosus,Glossy Antshrike,species,gloant1,12801,,,,,,,USER1142966,-2.6607,-56.7759,4.0,4.0,1000.0,700.0,ml,train,Sakesphorus_luctuosus_Unknown_703750.png,1000,700
703961,https://macaulaylibrary.org/asset/703961,Passeriformes,Troglodytidae (Wrens),Wrens,Cinnycerthia unirufa,Rufous Wren,species,rufwre1,26505,,,,,,,USER681648,4.6304,-73.7457,4.0,5.0,3431.0,2287.0,ml,train,Cinnycerthia_unirufa_Unknown_703961.png,1200,800
704312,https://macaulaylibrary.org/asset/704312,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",Euphonia finschi,Finsch's Euphonia,species,fineup1,30785,,SE Venezuela to the Guianas and n Brazil (n Roraima),,,Male,Adult,USER1142966,4.5864,-61.0888,4.0,4.0,624.0,688.0,ml,train,Euphonia_finschi_Male_704312.png,624,688
704325,https://macaulaylibrary.org/asset/704325,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies",Inezia caudata,Pale-tipped Tyrannulet,species,pattyr3,16069,,,,,Unknown,Adult,USER1142966,2.8536,-60.6466,4.0,4.0,613.0,702.0,ml,train,Inezia_caudata_Unknown_704325.png,613,702
704339,https://macaulaylibrary.org/asset/704339,Psittaciformes,Psittacidae (New World and African Parrots),"Parrots, Parakeets, and Allies",Brotogeris chrysoptera,Golden-winged Parakeet,species,gowpar2,12190,,,,,Unknown,Adult,USER1142966,-2.9118,-60.0609,4.0,4.0,1000.0,709.0,ml,test,Brotogeris_chrysoptera_Unknown_704339.png,1000,709
704437,https://macaulaylibrary.org/asset/704437,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)","Tree-Babblers, Scimitar-Babblers, and Allies",Megapomatorhinus gravivox,Black-streaked Scimitar-Babbler,species,bksscb1,25038,,,,,,,USER758525,26.0006,99.8293,5.0,4.2,1800.0,1167.0,ml,test,Megapomatorhinus_gravivox_Unknown_704437.png,1200,778
705272,https://macaulaylibrary.org/asset/705272,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Caloenas nicobarica,Nicobar Pigeon,species,nicpig1,2347,,,,,Unknown,Adult,USER1321064,8.6503,97.6468,8.0,4.875,1772.0,1262.0,ml,train,Caloenas_nicobarica_Unknown_705272.png,1200,855
705686,https://macaulaylibrary.org/asset/705686,Passeriformes,Platysteiridae (Wattle-eyes and Batises),Wattle-eyes and Batises,Lanioturdus torquatus,White-tailed Shrike,species,whtshr1,18948,,Angola to escarpment of central Namibia,,,,,USER1321064,-18.0546,13.8405,4.0,5.0,2376.0,1503.0,ml,train,Lanioturdus_torquatus_Unknown_705686.png,1200,759
705872,https://macaulaylibrary.org/asset/705872,Passeriformes,Thraupidae (Tanagers and Allies),Tanagers and Allies,Dacnis flaviventer,Yellow-bellied Dacnis,species,yebdac1,33810,,"SE Colombia to s Venezuela, n Bolivia and w Amaz. Brazil",,,,,USER334444,2.5734,-72.6347,4.0,4.0,2723.0,1518.0,ml,val,Dacnis_flaviventer_Unknown_705872.png,1200,669
706064,https://macaulaylibrary.org/asset/706064,Piciformes,Picidae (Woodpeckers),Woodpeckers,Celeus grammicus,Scale-breasted Woodpecker,species,scbwoo5,11186,,,,,,,USER1142966,-3.2742,-60.19,5.0,4.2,581.0,800.0,ml,train,Celeus_grammicus_Male_706064.png,581,800
706196,https://macaulaylibrary.org/asset/706196,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)","White-eyes, Yuhinas, and Allies",Sterrhoptilus capitalis,Rusty-crowned Babbler,species,rucbab3,24569,,,,,,,USER247247,8.1031,126.211,5.0,3.8,1200.0,1138.0,ml,train,Sterrhoptilus_capitalis_Unknown_706196.png,1200,1138
707360,https://macaulaylibrary.org/asset/707360,Psittaciformes,Psittaculidae (Old World Parrots),"Parrots, Parakeets, and Allies",Agapornis lilianae,Lilian's Lovebird,species,lillov1,12104,,"S Tanzania to Malawi, Zambia, Zimbabwe and Mozambique",,,,,USER815518,-12.9769,31.7643,4.0,4.0,1393.0,1047.0,ml,train,Agapornis_lilianae_Unknown_707360.png,1200,902
708412,https://macaulaylibrary.org/asset/708412,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",Thalasseus bernsteini,Chinese Crested Tern,species,chcter2,6506,,"Coastal e China; winters to Thailand, Borneo and Moluccas",,,,,USER504869,29.1718,120.0876,9.0,5.0,1621.0,1080.0,ml,train,Thalasseus_bernsteini_Unknown_708412.png,1200,800
708474,https://macaulaylibrary.org/asset/708474,Strigiformes,Strigidae (Owls),Owls,Megascops hoyi,Montane Forest Screech-Owl,species,mofsco1,8324,,Montane forests of s Bolivia and nw Argentina,,,,,USER632241,-24.0983,-64.4003,7.0,4.857142857,2000.0,1333.0,ml,train,Megascops_hoyi_Unknown_708474.png,1200,800
709316,https://macaulaylibrary.org/asset/709316,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Gallicolumba tristigmata,Sulawesi Ground Dove,species,sugdov1,2353,,,,,,,USER1336492,-5.2824,122.8862,10.0,3.8,529.0,477.0,ml,train,Gallicolumba_tristigmata_Unknown_709316.png,529,477
709585,https://macaulaylibrary.org/asset/709585,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",Aquila rapax,Tawny Eagle,species,taweag1,7573,,,,,,,USER899790,30.5386,34.9255,8.0,5.0,1200.0,894.0,ml,train,Aquila_rapax_Unknown_709585.png,1200,894
709631,https://macaulaylibrary.org/asset/709631,Passeriformes,Meliphagidae (Honeyeaters),Honeyeaters,Myzomela boiei,Banda Myzomela,species,banmyz1,17194,,,,,,,USER222164,,,6.0,4.5,750.0,503.0,ml,train,Myzomela_boiei_Unknown_709631.png,750,503
709780,https://macaulaylibrary.org/asset/709780,Falconiformes,Falconidae (Falcons and Caracaras),Falcons and Caracaras,Falco rupicoloides,Greater Kestrel,species,grekes1,11403,,,,,,,USER429294,-19.0001,16.0,9.0,4.888888889,1301.0,1000.0,ml,train,Falco_rupicoloides_Unknown_709780.png,1200,922
710935,https://macaulaylibrary.org/asset/710935,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,Stiphrornis erythrothorax erythrothorax,Forest Robin (Western),group (monotypic),forrob2,28165,,Sierra Leone to s Nigeria,,,Male,Adult,USER222164,,,5.0,4.8,800.0,533.0,ml,train,Stiphrornis_erythrothorax_erythrothorax_Unknown_710935.png,800,533
711145,https://macaulaylibrary.org/asset/711145,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Sunbirds and Spiderhunters,Cyanomitra cyanolaema,Blue-throated Brown Sunbird,species,btbsun2,29046,,,,,,,USER951089,6.2976,-0.6042,4.0,4.0,1698.0,1132.0,ml,train,Cyanomitra_cyanolaema_Unknown_711145.png,1200,800
711150,https://macaulaylibrary.org/asset/711150,Passeriformes,Viduidae (Indigobirds),Indigobirds,Vidua interjecta,Exclamatory Paradise-Whydah,species,ltpwhy1,30245,,"Senegal and Gambia east through southern Mali, northern Ivory Coast and northern Nigeria to the Central African Republic, northeastern Democratic Republic of the Congo, south Sudan, and Ethiopia",,,Male,Adult,USER951089,9.2173,-1.8573,6.0,4.5,1745.0,1163.0,ml,train,Vidua_interjecta_Male_711150.png,1200,800
711161,https://macaulaylibrary.org/asset/711161,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,Bradornis ussheri,Ussher's Flycatcher,species,ussfly1,27707,,Sierra Leone to Ghana and Nigeria,,,Unknown,Adult,USER951089,5.3501,-1.382,4.0,4.0,1750.0,1167.0,ml,train,Bradornis_ussheri_Unknown_711161.png,1200,800
711205,https://macaulaylibrary.org/asset/711205,Coliiformes,Coliidae (Mousebirds),Mousebirds,Colius striatus,Speckled Mousebird,species,spemou2,8884,,,,,,,USER951089,-34.2999,20.5833,10.0,4.9,768.0,1024.0,ml,train,Colius_striatus_Unknown_711205.png,768,1024
711300,https://macaulaylibrary.org/asset/711300,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,Buceros vigil,Helmeted Hornbill,species,helhor1,9183,,"Myanmar to s Thailand, Malay Peninsula, Sumatra and Borneo",,,Unknown,Adult,USER951089,5.2393,118.71,6.0,4.166666667,1152.0,768.0,ml,test,Buceros_vigil_Unknown_711300.png,1152,768
711342,https://macaulaylibrary.org/asset/711342,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",Arborophila crudigularis,Taiwan Partridge,species,taipar1,1092,,Montane forests of Taiwan,,,,,USER800441,,,4.0,5.0,1000.0,700.0,ml,val,Arborophila_crudigularis_Unknown_711342.png,1000,700
711501,https://macaulaylibrary.org/asset/711501,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,Oriolus forsteni,Seram Oriole,species,serori1,18727,,Seram (s Moluccas),,,,,USER222164,,,4.0,4.0,800.0,533.0,ml,train,Oriolus_forsteni_Unknown_711501.png,800,533
712006,https://macaulaylibrary.org/asset/712006,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,Surniculus musschenbroeki,Moluccan Drongo-Cuckoo,species,asidrc4,3298,,"Sulawesi, Butung, Halmahera, Bacan and Obi islands",,,Unknown,Unknown,USER221931,-1.8184,125.8841,5.0,2.2,3840.0,2160.0,ml,train,Surniculus_musschenbroeki_Unknown_712006.png,1200,675
712215,https://macaulaylibrary.org/asset/712215,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",Larus cachinnans,Caspian Gull,species,casgul2,6288,,Black Sea to Kazakhstan; winters to s Asia and ne Africa,,,,,USER1423416,42.8587,-2.6335,10.0,4.6,1898.0,1224.0,ml,train,Larus_cachinnans_Unknown_712215.png,1200,774
712380,https://macaulaylibrary.org/asset/712380,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)","Herons, Ibis, and Allies",Ardeola idae,Madagascar Pond-Heron,species,mapher1,7180,,Madagascar and Aldabra; post-breeding dispersal to c Africa,,,,,USER1336546,-15.4462,46.7006,6.0,4.666666667,920.0,613.0,ml,train,Ardeola_idae_Unknown_712380.png,920,613
712777,https://macaulaylibrary.org/asset/712777,Passeriformes,Passeridae (Old World Sparrows),Old World Sparrows,Gymnoris dentata,Sahel Bush Sparrow,species,buspet1,30423,,"southern Mauritania to Guinea, east to southern Sudan, South Sudan, Eritrea, and western Ethiopia; western Yemen",,,,,USER160104,,,5.0,4.2,1672.0,2310.0,ml,train,Gymnoris_dentata_Unknown_712777.png,869,1200
712898,https://macaulaylibrary.org/asset/712898,Passeriformes,Estrildidae (Waxbills and Allies),Estrildids,Lagonosticta virata,Mali Firefinch,species,malfir1,29997,,SE Senegal and s Mali (upper Niger River to Guinea border),,,Male,Adult,USER775762,12.5379,-12.1838,6.0,4.0,1475.0,1279.0,ml,train,Lagonosticta_virata_Male_712898.png,1200,1041
712908,https://macaulaylibrary.org/asset/712908,Passeriformes,Thraupidae (Tanagers and Allies),Tanagers and Allies,Dacnis berlepschi,Scarlet-breasted Dacnis,species,scbdac1,33826,,Lowlands of extreme sw Colombia and nw Ecuador,,,Male,Adult,USER650068,0.5342,-79.1826,4.0,4.0,2816.0,2112.0,ml,train,Dacnis_berlepschi_Male_712908.png,1200,900
713034,https://macaulaylibrary.org/asset/713034,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Corvus capensis,Cape Crow,species,capcro2,20632,,,,,Unknown,Adult,USER1463802,8.6123,39.3848,6.0,5.0,1000.0,667.0,ml,train,Corvus_capensis_Unknown_713034.png,1000,667
713089,https://macaulaylibrary.org/asset/713089,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Ducula latrans,Peale's Imperial-Pigeon,species,peipig1,2722,,Forests of larger Fiji Islands,,,,,USER1336536,-16.6301,179.746,5.0,4.2,3005.0,2082.0,ml,train,Ducula_latrans_Unknown_713089.png,1200,831
713150,https://macaulaylibrary.org/asset/713150,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)","White-eyes, Yuhinas, and Allies",Lophozosterops squamiceps,Streak-headed White-eye,species,sthwhe1,24528,,,,,,,USER1334537,,,4.0,5.0,1066.0,1054.0,ml,val,Lophozosterops_squamiceps_Unknown_713150.png,1066,1054
714701,https://macaulaylibrary.org/asset/714701,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,Copsychus sechellarum,Seychelles Magpie-Robin,species,semrob1,27877,,Frï¿½gate (Seychelles). Seriously endangered,,,Unknown,Unknown,USER305809,-4.2134,55.6658,4.0,5.0,1500.0,1000.0,ml,test,Copsychus_sechellarum_Unknown_714701.png,1200,800
714739,https://macaulaylibrary.org/asset/714739,Passeriformes,Cisticolidae (Cisticolas and Allies),Cisticolas and Allies,Cisticola cinnamomeus,Pale-crowned Cisticola,species,paccis1,22615,,,,,,,USER623908,-17.8082,31.0103,4.0,4.0,2653.0,1596.0,ml,train,Cisticola_cinnamomeus_Unknown_714739.png,1200,722
715704,https://macaulaylibrary.org/asset/715704,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,Sylvia leucomelaena,Arabian Warbler,species,reswar1,24308,,,,,,,USER899790,,,5.0,5.0,1299.0,806.0,ml,test,Sylvia_leucomelaena_Unknown_715704.png,1200,745
715738,https://macaulaylibrary.org/asset/715738,Piciformes,Capitonidae (New World Barbets),Barbets and Toucans,Capito niger,Black-spotted Barbet,species,blsbar1,10237,,"E Venezuela, the Guianas, and ne Brazil n of the Amazon",,,,,USER1336198,-3.0925,-60.0266,4.0,5.0,640.0,426.0,ml,train,Capito_niger_Unknown_715738.png,640,426
716174,https://macaulaylibrary.org/asset/716174,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Reed Warblers and Allies,Iduna pallida,Eastern Olivaceous Warbler,species,eaowar1,22660,,,,,Male,Adult,USER899790,32.8504,35.667,5.0,4.6,1200.0,749.0,ml,val,Iduna_pallida_Unknown_716174.png,1200,749
716720,https://macaulaylibrary.org/asset/716720,Passeriformes,Cotingidae (Cotingas),Cotingas,Tijuca condita,Gray-winged Cotinga,species,gywcot1,15179,,Cloud forests of se Brazil in Rio de Janeiro (Serra dos ï¿½rgï¿½os),,,,,USER623475,,,5.0,4.8,4104.0,2980.0,ml,train,Tijuca_condita_Unknown_716720.png,1200,871
716725,https://macaulaylibrary.org/asset/716725,Psittaciformes,Psittacidae (New World and African Parrots),"Parrots, Parakeets, and Allies",Deroptyus accipitrinus,Red-fan Parrot,species,refpar3,12351,,,,,,,USER623475,-3.0925,-60.0266,5.0,5.0,3418.0,2564.0,ml,train,Deroptyus_accipitrinus_Unknown_716725.png,1200,900
716923,https://macaulaylibrary.org/asset/716923,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)","Chachalacas, Guans, and Curassows",Penelope ortoni,Baudo Guan,species,baugua1,781,,W slope of Andes of Colombia and Ecuador,,,,,USER754299,3.6376,-76.9455,4.0,4.0,5184.0,3456.0,ml,train,Penelope_ortoni_Unknown_716923.png,1200,800
717039,https://macaulaylibrary.org/asset/717039,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",Caloperdix oculeus,Ferruginous Partridge,species,ferpar2,1066,,,,,,,USER542397,3.4092,101.8448,6.0,5.0,768.0,1024.0,ml,train,Caloperdix_oculeus_Unknown_717039.png,768,1024
717405,https://macaulaylibrary.org/asset/717405,Passeriformes,Locustellidae (Grassbirds and Allies),Grassbirds and Allies,Chaetornis striata,Bristled Grassbird,species,brigra2,22975,,Grasslands of Indian subcontinent,,,,,USER893078,28.4937,76.8777,5.0,4.2,1860.0,1705.0,ml,train,Chaetornis_striata_Unknown_717405.png,1200,1100
717473,https://macaulaylibrary.org/asset/717473,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,Centropus senegalensis,Senegal Coucal,species,sencou1,3005,,,,,,,USER754299,13.3846,-16.7499,5.0,5.0,3888.0,2592.0,ml,train,Centropus_senegalensis_Unknown_717473.png,1200,800
717580,https://macaulaylibrary.org/asset/717580,Psittaciformes,Psittacidae (New World and African Parrots),"Parrots, Parakeets, and Allies",Poicephalus senegalus,Senegal Parrot,species,senpar,12136,,,,,,,USER754299,14.7609,-17.333,6.0,3.666666667,2112.0,1452.0,ml,test,Poicephalus_senegalus_Unknown_717580.png,1200,825
717946,https://macaulaylibrary.org/asset/717946,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",Attila torridus,Ochraceous Attila,species,ochatt1,16461,,Extreme sw Colombia to w Ecuador and nw Peru (Tumbes),,,,,USER754299,1.6272,-78.7088,5.0,3.4,2359.0,1717.0,ml,val,Attila_torridus_Unknown_717946.png,1200,873
717962,https://macaulaylibrary.org/asset/717962,Passeriformes,Thraupidae (Tanagers and Allies),Tanagers and Allies,Catamenia inornata,Plain-colored Seedeater,species,plcsee1,34270,,,,,Female,Unknown,USER754299,4.97,-75.378,5.0,4.4,5184.0,3456.0,ml,val,Catamenia_inornata_Unknown_717962.png,1200,800
718022,https://macaulaylibrary.org/asset/718022,Passeriformes,Thraupidae (Tanagers and Allies),Tanagers and Allies,Diuca diuca,Common Diuca-Finch,species,codfin1,34010,,,,,Male,Adult,USER1409303,-22.126,-65.4631,8.0,4.875,1876.0,1253.0,ml,val,Diuca_diuca_Male_718022.png,1200,801
20043651,https://macaulaylibrary.org/asset/20043651,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,Centronyx henslowii,Henslow's Sparrow,species,henspa,32012,S23989427,,,,Unknown,Unknown,USER90474,41.1467,-79.4988,41.0,4.804878049,3844.0,2236.0,ebird,train,Centronyx_henslowii_Unknown_20043651.png,1200,698
20075461,https://macaulaylibrary.org/asset/20075461,Passeriformes,Phaenicophilidae (Hispaniolan Tanagers),Chat-Tanagers and Hispaniolan Tanagers,Phaenicophilus palmarum,Black-crowned Palm-Tanager,species,bcptan1,32266,S10193242,Lowlands of Hispaniola (except s pen. Haiti) and Saona I.,,,Unknown,Unknown,USER127404,18.4954,-69.9563,4.0,4.5,2048.0,1365.0,ebird,train,Phaenicophilus_palmarum_Unknown_20075461.png,1200,800
20128651,https://macaulaylibrary.org/asset/20128651,Passeriformes,Meliphagidae (Honeyeaters),Honeyeaters,Myzomela cardinalis,Cardinal Myzomela,species,carmyz1,17207,S24893564,,,,,,USER178682,-20.7902,167.1232,5.0,4.2,3280.0,2187.0,ebird,val,Myzomela_cardinalis_Female_20128651.png,1200,800
20188351,https://macaulaylibrary.org/asset/20188351,Caprimulgiformes,Trochilidae (Hummingbirds),Hummingbirds,Eriocnemis nigrivestis,Black-breasted Puffleg,species,blbpuf3,4440,S23971643,"Andes of n Ecuador (Pichincha, Atacazo and Imbabura)",,,Unknown,Unknown,USER162833,-0.1118,-78.5847,5.0,4.6,567.0,642.0,ebird,train,Eriocnemis_nigrivestis_Unknown_20188351.png,567,642
20209951,https://macaulaylibrary.org/asset/20209951,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",Buteo solitarius,Hawaiian Hawk,species,hawhaw,8002,S25209976,Forests of Hawaii (Hawaiian Islands),,,Unknown,Unknown,USER95784,20.0377,-155.4404,12.0,4.833333333,1800.0,1200.0,ebird,train,Buteo_solitarius_Unknown_20209951.png,1200,800
20510931,https://macaulaylibrary.org/asset/20510931,Passeriformes,Icteridae (Troupials and Allies),Blackbirds,Agelaius assimilis,Red-shouldered Blackbird,species,resbla1,32528,S25518704,,,,,,USER659177,22.1536,-80.8252,3.0,5.0,2480.0,1654.0,ebird,train,Agelaius_assimilis_Unknown_20510931.png,1200,800
20721931,https://macaulaylibrary.org/asset/20721931,Charadriiformes,Scolopacidae (Sandpipers and Allies),Shorebirds,Tringa erythropus,Spotted Redshank,species,spored,5979,S25670890,Breeds n Eurasia; winters Mediterranean region to SE Asia,,,,,USER429839,29.362,47.6932,15.0,4.933333333,2433.0,1521.0,ebird,train,Tringa_erythropus_Unknown_20721931.png,1200,750
20806001,https://macaulaylibrary.org/asset/20806001,Procellariiformes,Procellariidae (Shearwaters and Petrels),"Petrels, Shearwaters, and Diving-Petrels",Bulweria fallax,Jouanin's Petrel,species,joupet,6774,S25720301,NW Indian Ocean and s Arabian Sea; breeding grounds unknown,,,Unknown,Unknown,USER292498,16.9929,54.6553,4.0,4.5,1364.0,826.0,ebird,train,Bulweria_fallax_Unknown_20806001.png,1200,727
21136011,https://macaulaylibrary.org/asset/21136011,Passeriformes,Scotocercidae (Bush Warblers and Allies),Bush Warblers and Allies,Urosphena whiteheadi,Bornean Stubtail,species,borstu1,24073,S25892448,Mountains of n Borneo (Kinabalu to Liang Kubung),,,Unknown,Unknown,USER236430,6.0095,116.5411,6.0,4.0,1800.0,1200.0,ebird,train,Urosphena_whiteheadi_Unknown_21136011.png,1200,800
21136031,https://macaulaylibrary.org/asset/21136031,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)","White-eyes, Yuhinas, and Allies",Chlorocharis emiliae,Mountain Black-eye,species,mouble1,24549,S25892448,,,,,,USER236430,6.0095,116.5411,6.0,4.166666667,1800.0,1200.0,ebird,train,Chlorocharis_emiliae_Unknown_21136031.png,1200,800
21157581,https://macaulaylibrary.org/asset/21157581,Passeriformes,Ptilonorhynchidae (Bowerbirds),Scrub-birds and Bowerbirds,Amblyornis newtoniana,Golden Bowerbird,species,golbow1,16758,S25820639,Highland rain forests of ne Australia (ne Queensland),,,Unknown,Unknown,USER438330,-16.5929,145.2754,8.0,4.875,600.0,882.0,ebird,train,Amblyornis_newtoniana_Unknown_21157581.png,600,882
21158401,https://macaulaylibrary.org/asset/21158401,Otidiformes,Otididae (Bustards),Bustards,Ardeotis nigriceps,Great Indian Bustard,species,indbus1,2830,,Semiarid grasslands of nw and central India,,,Unknown,Unknown,USER223358,,,10.0,4.8,3611.0,2408.0,ebird,train,Ardeotis_nigriceps_Unknown_21158401.png,1200,800
21164961,https://macaulaylibrary.org/asset/21164961,Suliformes,Sulidae (Boobies and Gannets),"Frigatebirds, Boobies, and Gannets",Sula leucogaster,Brown Booby,species,brnboo,6923,S8861132,,,,Unknown,Unknown,USER88405,38.9678,-74.8684,37.0,4.810810811,4500.0,3000.0,ebird,train,Sula_leucogaster_Unknown_21164961.png,1200,800
21394391,https://macaulaylibrary.org/asset/21394391,Passeriformes,Regulidae (Kinglets),Kinglets,Regulus goodfellowi,Flamecrest,species,flamec1,25818,S26024503,Montane forests of central Taiwan,,,Unknown,Unknown,USER528639,23.5105,120.8039,20.0,4.9,2048.0,1365.0,ebird,train,Regulus_goodfellowi_Unknown_21394391.png,1200,800
